Draw,"Atlanta, GA","Chicago, IL","Dallas-Ft. Worth, TX","Houston, TX","Los Angeles, CA","Miami-Ft. Lauderdale, FL","New York, NY","Philadelphia, PA",Puerto Rico
101,-415155.9914001032,-1760659.6893755537,488266.8359997177,-1119997.6335564395,1061307.5154908593,186362.28932278778,2572212.1176437894,-544708.2846310865,407557.11581821577
102,-90301.70089444786,-1264981.2226901208,-156641.81563433982,7517.441295958473,1468158.9365624157,-341533.6312380979,375649.6239672811,-1056024.86426842,432164.1998448651
103,-229133.9321208318,-1355625.790313499,-30605.959292088402,-1475786.6747448673,1372169.173323315,71888.84348396247,1655526.9928238164,-990700.7136062253,621845.7520315277
104,-68355.77863107494,371771.0217591458,-301130.1529596016,44045.69673226285,950930.5969154888,533013.7430954291,1166088.937058914,-1070708.1833390235,405403.67202251963
105,-43428.71868603269,-582948.676977744,-477043.72390374285,-19523.000524938456,1302218.13337834,45794.62444667262,1257870.7772119106,-1127069.5094455676,581410.891071141
106,-764154.0431941058,-28692.57307476143,277382.1031252765,-941399.1723812347,1743913.395695195,25577.15535668237,264295.0087407902,-1068064.1397194085,522632.5156601572
107,357378.6515173195,10221.48005373124,-43677.33475973061,-271126.0507694833,733572.2054542117,407337.2559034958,1986363.1285090428,-1154864.686824542,509938.73430933687
108,-523365.03456395294,-684321.4453503585,76114.64556845976,-521817.7216570374,52307.05456935591,450536.0558593301,2327892.319027345,-789546.369941717,882669.8598792572
109,210625.00341475068,-1862361.9561397936,-558578.3303433093,-1050469.658594289,-216383.88345798384,446048.1368225496,552447.937589772,-344138.5374847783,899573.9427429726
110,-82811.67516090069,-1213982.2547500175,-479873.64894488524,-10288.600803377922,-311816.58795540105,153777.77458309603,735991.4737357441,-209543.21354362427,566594.401441934
111,-424956.7701891146,-445456.71898557805,-161087.2969890933,-512743.9835104868,-378195.75941045117,381752.92973553506,-194251.5233094152,-1067194.6226102263,251291.53471601615
112,270702.94707553915,-396430.80192094843,-61777.80139565107,-199171.19502513635,930383.3568844674,439290.0562375309,919246.9282625308,-483020.6941957519,318063.2100613918
113,-631039.9075664806,-385753.44195711985,419371.3681592633,266692.3510646984,419362.9649197592,469119.30396948825,1017948.5911209914,-1310330.3261895978,484375.79299095913
114,134233.91123680433,-201923.37588836835,-231691.30259754823,-1043401.4501459147,736352.8475230786,387403.42921757523,-254723.80944935512,-22080.058887659106,155076.44214191823
115,-42530.76770994207,-851612.589797599,22212.0728718522,-393110.6478296637,830683.6270201616,19728.499993823585,-460963.0148328943,-1190566.6594611946,548423.5821052057
116,-71818.32428413024,-767783.755781368,-61506.207054304075,-647269.4118761861,1187815.4963854884,21028.709931464167,297641.94487718726,-759225.2834569147,157344.4933638447
117,-299408.5895731064,-704176.8455741728,-72527.70738303324,-411633.8021786257,525284.8849809731,200103.63136777864,-114775.67990052234,-610247.0371342264,133473.46775666135
118,-428028.5630419451,302588.69716073235,-52094.62643423665,-144239.17169628595,1236577.43400563,257268.70975340134,1723145.4815340429,-1007418.6323225341,275841.227550257
119,-449720.28503304766,145507.26229032967,-192157.7078034163,-418838.13079857896,909328.3546457167,-96352.53538514022,685440.2624865687,-916849.4036232395,634236.1932018045
120,-22656.630719593377,-174469.59367712808,-144744.69616652722,-282549.63174251234,1241332.4629485833,-124159.5005796029,1304991.9215743984,-697963.4410934763,365315.8654198083
121,-510459.76102222607,-440940.8531827065,-248405.21352073352,-623801.7430907729,563320.5004693272,30047.058254418196,1141239.3417944927,-739022.5428529436,488784.9612835762
122,308885.35745328234,-147917.17902463896,70506.8708557249,-486024.0269773551,891142.6576679237,526328.0965753292,1184395.0974577013,-422505.3664837589,243623.43278212333
123,269838.882513816,-507324.33918800275,78392.7120230511,-490036.17102764954,902371.7114361792,98884.14851833903,1466938.9136094153,-405357.47428010975,225397.74623965332
