DMA,DMA_Key,Spend_Partial_R2,Spend_Beta,Spend_P_Value,Spend_Explanatory_Strength,Spend_Direction,Spend_Statistical_Evidence,Spend_Estimate_Stability,Influence_Severity,Spend_Relationship_Classification,Latest_Month,Latest_Spend,Recent_Average_Spend,Historical_Average_Spend,Total_Observed_Spend,Recent_Average_Traffic,Store_Count,Recent_Spend_Per_Store,Responsiveness_Score,Regression_Confidence_Score,Store_Count_Score,Traffic_Scale_Score,Market_Scale_Score,All_DMA_Opportunity_Score,All_DMA_Opportunity_Tier,All_DMA_Strategic_Action,All_DMA_Opportunity_Rank,All_DMA_Spend_Change_Lower,All_DMA_Spend_Change_Upper,All_DMA_Recommended_Incremental_Spend_Lower,All_DMA_Recommended_Incremental_Spend_Upper,All_DMA_Recommended_Total_Spend_Lower,All_DMA_Recommended_Total_Spend_Upper,BSTS_Relative_Lift,BSTS_Probability_Positive,Implied_Incremental_Comp,Performance_Score,Opportunity_Score,Evidence_Alignment,Opportunity_Tier,Strategic_Action,BSTS_Evidence_Available
"Boston, MA (Manchester, NH)",Boston,0.3570030407725719,0.0388938683426383,0.5788599760101604,Strong,Positive,Weak,Highly Unstable,High,Strong Apparent Association / Highly Unstable Estimate,2026-07-01,184000,142666.66666666666,110111.11111111111,1982000,560168.0,24,5944.444444444444,71.40060815451437,26.666666666666668,64.70588235294117,67.64705882352942,66.1764705882353,56.674391316590295,Moderate,Maintain / Monitor,11,0.0,0.05,0.0,7133.333333333333,142666.66666666666,149800.0,-0.0248417174400621,0.33775,-0.025025443184327,35.63113920391825,41.57514920752979,Attribution Conflict,Diagnostic,Hold & Diagnose,True
"Columbus, OH",Columbus,0.2658283439310636,0.0325970539188698,0.0107876492280687,Moderate,Positive,Strong,Stable,Low,Moderate Positive Spend Relationship,2026-07-01,0,0.0,20777.777777777777,374000,122155.33333333333,5,0.0,53.16566878621272,100.0,4.411764705882353,5.88235294117647,5.147058823529411,55.21131565967808,Moderate,Explore Incremental Test,12,0.05,0.1,0.0,0.0,0.0,0.0,,,,,,,,,False
"Washington, DC (Hagerstown, MD)",Washington DC,0.2033712653148713,0.0240467602055348,0.1540659018046726,Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence,2026-07-01,214000,167666.66666666666,119000.0,2142000,789768.3333333334,26,6448.717948717948,40.67425306297426,58.333333333333336,73.52941176470588,79.41176470588235,76.47058823529412,54.92106093716195,Low,Maintain / Monitor,13,0.0,0.05,0.0,8383.333333333334,167666.66666666666,176050.0,,,,,,,,,False
"Phoenix (Prescott), AZ",Phoenix,0.2376400476975643,0.0241694450574829,0.1666150825255505,Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence,2026-07-01,0,0.0,41833.333333333336,753000,492880.6666666667,23,0.0,47.52800953951286,58.333333333333336,61.76470588235294,61.76470588235294,61.76470588235294,54.328780763369025,Low,Maintain / Monitor,14,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"Orlando-Daytona Beach-Melbourne, FL",Orlando,0.3064674987974506,0.0253033588736625,0.2637800925058901,Strong,Positive,Weak,Highly Unstable,High,Strong Apparent Association / Highly Unstable Estimate,2026-07-01,0,0.0,49722.22222222222,895000,659168.3333333334,25,0.0,61.293499759490125,26.666666666666668,69.11764705882352,70.58823529411765,69.85294117647058,53.045310185888205,Low,Maintain / Monitor,15,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"Oklahoma City, OK",Oklahoma City,0.3170228140453234,0.036491158684025,0.0797126218020296,Strong,Positive,Suggestive,Influence Sensitive,Moderate,Strong Positive Spend Relationship / Suggestive Evidence,2026-07-01,0,0.0,12666.666666666666,228000,153278.66666666666,10,0.0,63.40456280906468,66.66666666666667,19.11764705882353,8.823529411764707,13.970588235294118,52.02470032290264,Low,Maintain / Monitor,16,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"Cleveland-Akron (Canton), OH",Cleveland,0.2687997878176498,0.0284618675182465,0.0804438581783433,Moderate,Positive,Suggestive,Influence Sensitive,Moderate,Moderate Positive Spend Relationship / Suggestive Evidence,2026-07-01,0,0.0,17055.555555555555,307000,205620.0,13,0.0,53.75995756352996,66.66666666666667,36.76470588235294,14.705882352941178,25.735294117647058,50.625804433000255,Low,Maintain / Monitor,17,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"Los Angeles, CA",Los Angeles,0.1997117574723399,0.0272388727743037,0.7238913669016476,Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate,2026-07-01,676000,520666.6666666667,287277.77777777775,5171000,1648636.3333333333,65,8010.25641025641,39.94235149446798,26.666666666666668,97.05882352941177,97.05882352941177,97.05882352941177,50.23876405486354,Low,Maintain / Monitor,18,0.0,0.05,0.0,26033.333333333336,520666.6666666667,546700.0,0.0695695642814378,0.919375,0.0654150088883335,87.32250222208337,62.859143614965404,Convergent Positive,Moderate,Test Increase,True
"Chicago, IL",Chicago,0.1260418011733027,0.0276287922599905,0.2597049202297062,Low,Positive,Weak,Influence Sensitive,Moderate,Low Apparent Association / Weak Statistical Evidence,2026-07-01,385000,292333.3333333333,211388.88888888888,3805000,1126261.6666666667,47,6219.858156028368,25.20836023466054,50.0,94.11764705882352,88.23529411764706,91.17647058823529,49.13787975265606,Low,Maintain / Monitor,19,0.0,0.05,0.0,14616.666666666666,292333.3333333333,306950.0,-0.0690535779168267,0.183375,-0.0740117330036908,15.665816749077303,34.845065595121355,Attribution Conflict,Diagnostic,Hold & Diagnose,True
"Philadelphia, PA",Philadelphia,0.2257458914950442,0.0313163175041087,0.6466284516083058,Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate,2026-07-01,234000,177333.33333333334,172277.77777777778,3101000,774429.0,42,4222.222222222223,45.14917829900884,26.666666666666668,88.23529411764706,76.47058823529412,82.35294117647058,48.905365528671624,Low,Maintain / Monitor,20,0.0,0.05,0.0,8866.666666666668,177333.33333333334,186200.0,-0.1208360314103803,0.021,-0.1365315637674339,1.05,32.53475348970265,Attribution Conflict,Diagnostic,Hold & Diagnose,True
